method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid,k,gibbs_temperature,maskgit_temperature
gibbs,0,-1.0,-1.0,8,gibbs,17.127293,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,16,gibbs,12.547383,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,32,gibbs,10.885585,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,64,gibbs,10.232535,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,128,gibbs,9.811467,-1,-1.0,-1.0
gibbs,0,-1.0,-1.0,256,gibbs,9.222813,-1,-1.0,-1.0
euler,1,0.9,0.5,8,forward_backward,13.465355,-1,-1.0,-1.0
euler,1,0.9,1.0,16,forward_backward,10.888135,-1,-1.0,-1.0
euler,1,0.9,2.0,32,forward_backward,9.574604,-1,-1.0,-1.0
euler,1,0.9,2.0,64,forward_backward,8.619032,-1,-1.0,-1.0
euler,1,0.9,2.0,128,forward_backward,8.156117,-1,-1.0,-1.0
gibbs,1,0.9,-1.0,8,gibbs,8.8077345,16,1.0,-1.0
gibbs,1,0.9,-1.0,16,gibbs,8.367004,8,5.0,-1.0
gibbs,1,0.9,-1.0,32,gibbs,8.214524,2,5.0,-1.0
gibbs,1,0.9,-1.0,64,gibbs,7.9020333,16,10.0,-1.0
gibbs,1,0.9,-1.0,128,gibbs,7.8534436,4,1000.0,-1.0
maskgit,0,-1.0,-1.0,8,,9.768801,-1,-1.0,4.0
maskgit,0,-1.0,-1.0,16,,9.065118,-1,-1.0,8.0
maskgit,0,-1.0,-1.0,32,,8.854411,-1,-1.0,12.0
maskgit,0,-1.0,-1.0,64,,8.941337,-1,-1.0,12.0
maskgit,0,-1.0,-1.0,128,,8.825096,-1,-1.0,10.0
maskgit,0,-1.0,-1.0,256,,8.841319,-1,-1.0,12.0