method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,1,0.9,2.0,16,,16.002934
euler,1,0.9,2.0,32,,13.169051
euler,1,0.9,2.0,64,,12.100666
euler,1,0.9,2.0,128,,11.261125
euler,1,0.9,2.0,16,forward_backward,12.386245
euler,1,0.9,0.02,16,mpf,9.789244
euler,1,0.9,2.0,16,barker,13.401123
euler,1,0.9,2.0,32,forward_backward,9.822015
euler,1,0.9,0.02,32,mpf,9.405401
euler,1,0.9,2.0,32,barker,10.911642
euler,1,0.9,2.0,64,forward_backward,9.277819
euler,1,0.9,0.02,64,mpf,9.370978
euler,1,0.9,2.0,64,barker,9.868366
euler,1,0.9,2.0,128,forward_backward,8.739339
euler,1,0.9,0.02,128,mpf,9.400947
euler,1,0.9,2.0,128,barker,9.251044
euler,1,0.9,1.0,16,forward_backward,11.9039135
euler,1,0.9,0.01,16,mpf,10.211531
euler,1,0.9,1.0,16,barker,13.619093
euler,1,0.9,1.0,32,forward_backward,10.174404
euler,1,0.9,0.01,32,mpf,9.641989
euler,1,0.9,1.0,32,barker,11.022537
euler,1,0.9,1.0,64,forward_backward,9.5244055
euler,1,0.9,0.01,64,mpf,9.413807
euler,1,0.9,1.0,64,barker,10.180147
euler,1,0.9,1.0,128,forward_backward,9.264471
euler,1,0.9,0.01,128,mpf,9.322225
euler,1,0.9,1.0,128,barker,9.709137
euler,1,0.9,5.0,16,forward_backward,20.978645
euler,1,0.9,0.05,16,mpf,10.754158
euler,1,0.9,5.0,16,barker,14.991154
euler,1,0.9,5.0,32,forward_backward,11.940371
euler,1,0.9,0.05,32,mpf,10.823825
euler,1,0.9,5.0,32,barker,11.424081
euler,1,0.9,5.0,64,forward_backward,9.2189
euler,1,0.9,0.05,64,mpf,11.216322
euler,1,0.9,5.0,64,barker,9.977926
euler,1,0.9,5.0,128,forward_backward,8.457948
euler,1,0.9,0.05,128,mpf,10.929186
euler,1,0.9,5.0,128,barker,9.171324
euler,1,0.5,2.0,16,forward_backward,14.040791
euler,1,0.5,0.02,16,mpf,11.807254
euler,1,0.5,2.0,16,barker,14.175905
euler,1,0.5,2.0,32,forward_backward,11.324995
euler,1,0.5,0.02,32,mpf,10.523315
euler,1,0.5,2.0,32,barker,11.199907
euler,1,0.5,2.0,64,forward_backward,10.131911
euler,1,0.5,0.02,64,mpf,9.659618
euler,1,0.5,2.0,64,barker,9.721454
euler,1,0.5,2.0,128,forward_backward,9.545201
euler,1,0.5,0.02,128,mpf,9.5326805
euler,1,0.5,2.0,128,barker,9.651439
euler,1,0.5,1.0,16,forward_backward,14.27992
euler,1,0.5,0.01,16,mpf,13.09505
euler,1,0.5,1.0,16,barker,14.499291
euler,1,0.5,1.0,32,forward_backward,11.928976
euler,1,0.5,0.01,32,mpf,11.456382
euler,1,0.5,1.0,32,barker,11.977547
euler,1,0.5,1.0,64,forward_backward,10.690364
euler,1,0.5,0.01,64,mpf,10.305061
euler,1,0.5,1.0,64,barker,10.583773
euler,1,0.5,1.0,128,forward_backward,10.261872
euler,1,0.5,0.01,128,mpf,10.256292
euler,1,0.5,1.0,128,barker,10.1431465
euler,1,0.5,5.0,16,forward_backward,15.944773
euler,1,0.5,0.05,16,mpf,10.009641
euler,1,0.5,5.0,16,barker,15.140543
euler,1,0.5,5.0,32,forward_backward,11.416794
euler,1,0.5,0.05,32,mpf,9.325299
euler,1,0.5,5.0,32,barker,11.732646
euler,1,0.5,5.0,64,forward_backward,9.417938
euler,1,0.5,0.05,64,mpf,9.103589
euler,1,0.5,5.0,64,barker,9.954925
euler,1,0.5,5.0,128,forward_backward,8.719469
euler,1,0.5,0.05,128,mpf,8.989983
euler,1,0.5,5.0,128,barker,9.123066
euler,1,0.3,2.0,16,forward_backward,14.655628
euler,1,0.3,0.02,16,mpf,13.6396
euler,1,0.3,2.0,16,barker,14.398308
euler,1,0.3,2.0,32,forward_backward,12.150883
euler,1,0.3,0.02,32,mpf,11.723386
euler,1,0.3,2.0,32,barker,11.921577
euler,1,0.3,2.0,64,forward_backward,10.858705
euler,1,0.3,0.02,64,mpf,10.610544
euler,1,0.3,2.0,64,barker,10.651423
euler,1,0.3,2.0,128,forward_backward,10.420069
euler,1,0.3,0.02,128,mpf,10.452747
euler,1,0.3,2.0,128,barker,10.210714
euler,1,0.3,1.0,16,forward_backward,14.979004
euler,1,0.3,0.01,16,mpf,14.40983
euler,1,0.3,1.0,16,barker,14.943811
euler,1,0.3,1.0,32,forward_backward,12.480463
euler,1,0.3,0.01,32,mpf,12.237121
euler,1,0.3,1.0,32,barker,12.479789
euler,1,0.3,1.0,64,forward_backward,11.33098
euler,1,0.3,0.01,64,mpf,11.211161
euler,1,0.3,1.0,64,barker,10.981413
euler,1,0.3,1.0,128,forward_backward,10.844849
euler,1,0.3,0.01,128,mpf,10.8341255
euler,1,0.3,1.0,128,barker,10.708182
euler,1,0.3,5.0,16,forward_backward,14.430382
euler,1,0.3,0.05,16,mpf,12.160707
euler,1,0.3,5.0,16,barker,14.619974
euler,1,0.3,5.0,32,forward_backward,11.391311
euler,1,0.3,0.05,32,mpf,10.80869
euler,1,0.3,5.0,32,barker,11.698402
euler,1,0.3,5.0,64,forward_backward,10.036045
euler,1,0.3,0.05,64,mpf,9.784931
euler,1,0.3,5.0,64,barker,10.033613
euler,1,0.3,5.0,128,forward_backward,9.608542
euler,1,0.3,0.05,128,mpf,9.817248
euler,1,0.3,5.0,128,barker,9.77929
euler,2,0.9,2.0,16,forward_backward,11.42676
euler,2,0.9,0.02,16,mpf,10.331074
euler,2,0.9,2.0,16,barker,14.251422
euler,2,0.9,2.0,32,forward_backward,9.191922
euler,2,0.9,0.02,32,mpf,10.494964
euler,2,0.9,2.0,32,barker,11.064866
euler,2,0.9,2.0,64,forward_backward,8.667799
euler,2,0.9,0.02,64,mpf,10.556244
euler,2,0.9,2.0,64,barker,9.960461
euler,2,0.9,2.0,128,forward_backward,8.459847
euler,2,0.9,0.02,128,mpf,10.622004
euler,2,0.9,2.0,128,barker,9.076826
euler,2,0.9,1.0,16,forward_backward,10.347038
euler,2,0.9,0.01,16,mpf,9.555237
euler,2,0.9,1.0,16,barker,13.652563
euler,2,0.9,1.0,32,forward_backward,9.041483
euler,2,0.9,0.01,32,mpf,9.280367
euler,2,0.9,1.0,32,barker,10.811394
euler,2,0.9,1.0,64,forward_backward,8.833673
euler,2,0.9,0.01,64,mpf,9.336738
euler,2,0.9,1.0,64,barker,9.73679
euler,2,0.9,1.0,128,forward_backward,8.585589
euler,2,0.9,0.01,128,mpf,9.245991
euler,2,0.9,1.0,128,barker,9.342873
euler,2,0.9,5.0,16,forward_backward,24.357037
euler,2,0.9,0.05,16,mpf,12.417277
euler,2,0.9,5.0,16,barker,17.079304
euler,2,0.9,5.0,32,forward_backward,12.257635
euler,2,0.9,0.05,32,mpf,12.647964
euler,2,0.9,5.0,32,barker,13.015808
euler,2,0.9,5.0,64,forward_backward,9.297558
euler,2,0.9,0.05,64,mpf,12.5472555
euler,2,0.9,5.0,64,barker,10.783285
euler,2,0.9,5.0,128,forward_backward,8.786683
euler,2,0.9,0.05,128,mpf,12.799753
euler,2,0.9,5.0,128,barker,9.486695
euler,2,0.5,2.0,16,forward_backward,13.186467
euler,2,0.5,0.02,16,mpf,9.919388
euler,2,0.5,2.0,16,barker,14.4939375
euler,2,0.5,2.0,32,forward_backward,10.297061
euler,2,0.5,0.02,32,mpf,9.14856
euler,2,0.5,2.0,32,barker,11.217322
euler,2,0.5,2.0,64,forward_backward,9.076632
euler,2,0.5,0.02,64,mpf,9.115095
euler,2,0.5,2.0,64,barker,9.625654
euler,2,0.5,2.0,128,forward_backward,8.743092
euler,2,0.5,0.02,128,mpf,9.032197
euler,2,0.5,2.0,128,barker,9.095359
euler,2,0.5,1.0,16,forward_backward,12.743375
euler,2,0.5,0.01,16,mpf,11.206397
euler,2,0.5,1.0,16,barker,14.212748
euler,2,0.5,1.0,32,forward_backward,11.0860815
euler,2,0.5,0.01,32,mpf,10.15324
euler,2,0.5,1.0,32,barker,11.286722
euler,2,0.5,1.0,64,forward_backward,9.996061
euler,2,0.5,0.01,64,mpf,9.634045
euler,2,0.5,1.0,64,barker,10.123312
euler,2,0.5,1.0,128,forward_backward,9.492461
euler,2,0.5,0.01,128,mpf,9.447314
euler,2,0.5,1.0,128,barker,9.554239
euler,2,0.5,5.0,16,forward_backward,19.984436
euler,2,0.5,0.05,16,mpf,9.890377
euler,2,0.5,5.0,16,barker,17.029902
euler,2,0.5,5.0,32,forward_backward,11.644966
euler,2,0.5,0.05,32,mpf,9.524748
euler,2,0.5,5.0,32,barker,12.756691
euler,2,0.5,5.0,64,forward_backward,8.934969
euler,2,0.5,0.05,64,mpf,9.467698
euler,2,0.5,5.0,64,barker,10.451538
euler,2,0.5,5.0,128,forward_backward,8.37909
euler,2,0.5,0.05,128,mpf,9.560776
euler,2,0.5,5.0,128,barker,9.426538
euler,2,0.3,2.0,16,forward_backward,13.896752
euler,2,0.3,0.02,16,mpf,11.809319
euler,2,0.3,2.0,16,barker,14.309859
euler,2,0.3,2.0,32,forward_backward,11.236973
euler,2,0.3,0.02,32,mpf,10.839738
euler,2,0.3,2.0,32,barker,11.565128
euler,2,0.3,2.0,64,forward_backward,10.05797
euler,2,0.3,0.02,64,mpf,10.205609
euler,2,0.3,2.0,64,barker,10.065754
euler,2,0.3,2.0,128,forward_backward,9.718216
euler,2,0.3,0.02,128,mpf,10.006091
euler,2,0.3,2.0,128,barker,9.603283
euler,2,0.3,1.0,16,forward_backward,14.304415
euler,2,0.3,0.01,16,mpf,13.07829
euler,2,0.3,1.0,16,barker,14.399507
euler,2,0.3,1.0,32,forward_backward,11.998833
euler,2,0.3,0.01,32,mpf,11.446872
euler,2,0.3,1.0,32,barker,11.902496
euler,2,0.3,1.0,64,forward_backward,10.840811
euler,2,0.3,0.01,64,mpf,10.762959
euler,2,0.3,1.0,64,barker,10.613856
euler,2,0.3,1.0,128,forward_backward,10.466668
euler,2,0.3,0.01,128,mpf,10.382863
euler,2,0.3,1.0,128,barker,10.096696
euler,2,0.3,5.0,16,forward_backward,17.294262
euler,2,0.3,0.05,16,mpf,10.281465
euler,2,0.3,5.0,16,barker,16.998602
euler,2,0.3,5.0,32,forward_backward,11.115768
euler,2,0.3,0.05,32,mpf,9.542211
euler,2,0.3,5.0,32,barker,13.200726
euler,2,0.3,5.0,64,forward_backward,9.35845
euler,2,0.3,0.05,64,mpf,9.319961
euler,2,0.3,5.0,64,barker,10.519109
euler,2,0.3,5.0,128,forward_backward,8.85788
euler,2,0.3,0.05,128,mpf,9.308742
euler,2,0.3,5.0,128,barker,9.536053
